Stock Index,Stock Price
AC3235,575.3531894705119
AC3236,417.87472677860666
AC3237,735.8373979279085
AC3238,536.4731508989285
AC3239,402.8656836366292
AC3240,449.84174555471327
AC3241,559.3681467821367
AC3242,584.5168617917221
AC3243,603.8872151035725
AC3244,655.049849988699
AC3245,443.23264917586476
AC3246,432.90195686842947
AC3247,563.4008323680639
AC3248,337.8827531680382
AC3249,300.83294852917544
AC3250,353.0703585247733
AC3251,630.4975591971886
AC3252,345.6198882608846
AC3253,448.7617467225547
AC3254,347.6714587840018
AC3255,596.8641257857612
AC3256,599.2316518505389
AC3257,638.6414827582852
AC3258,461.88646946526296
AC3259,385.9154418249083
AC3260,380.52921451165605
AC3261,357.0941655371685
AC3262,380.14874020066446
AC3263,429.95930854778516
AC3264,334.6639693593148
AC3265,574.2674235521016
AC3266,551.1231026512164
AC3267,473.20789144190485
AC3268,526.0475447260443
AC3269,430.70404631701626
AC3270,557.3033216557088
AC3271,307.6763761121096
AC3272,426.34442409959513
AC3273,593.9079719758298
AC3274,503.8566273728793
AC3275,459.57014472052714
AC3276,506.8004304023841
AC3277,600.9529959701654
AC3278,634.9846103774853
AC3279,340.56259916138913
AC3280,432.80876648457877
AC3281,584.4280544443935
AC3282,308.9185851424862
AC3283,540.6699917278916
AC3284,490.7950627639229
AC3285,350.9234503027135
AC3286,567.9669659754074
AC3287,404.38584161726806
AC3288,364.56017320455544
AC3289,380.6537743163182
AC3290,419.7266160476978
AC3291,361.6139605701442
AC3292,302.73420925809626
AC3293,461.9219226067983
AC3294,380.8700493397513
AC3295,527.3456402048154
AC3296,321.64714725993576
AC3297,482.14687011736544
AC3298,552.1281891189227
AC3299,315.25780833857436
AC3300,243.18866591616558
AC3301,557.1432853625709
AC3302,364.5062164866906
AC3303,647.6370086557406
AC3304,326.9298842262714
AC3305,343.42738328553736
AC3306,416.96821191737564
AC3307,235.63835390853168
AC3308,430.51319764362154
AC3309,419.6049611933328
AC3310,603.9148267009078
AC3311,627.8175111950449
AC3312,634.731345070515
AC3313,294.67201048657637
AC3314,264.5821522064032
AC3315,316.8597164474646
AC3316,427.081573111451
AC3317,552.2823976027954
AC3318,515.9213803557037
AC3319,666.4935088089632
AC3320,290.84070648806164
AC3321,365.6636569928216
AC3322,355.6002723778325
AC3323,563.9228292356213
AC3324,288.989444494981
AC3325,383.22909738234586
AC3326,439.35013375177385
AC3327,260.8815702312691
AC3328,334.3398531081407
AC3329,509.0492903985398
AC3330,549.220077431748
AC3331,460.19904815943715
AC3332,564.2978071057298
AC3333,643.7038920830354
AC3334,402.3711977797926
AC3335,510.34658555513573
AC3336,314.97003345653786
AC3337,511.5453640198594
AC3338,738.948983254942
AC3339,555.312439503214
AC3340,336.29593609294443
AC3341,688.6383588115681
AC3342,640.402354326195
AC3343,421.4148999416519
AC3344,249.06836080242542
AC3345,322.35036541741385
AC3346,260.4047215070815
AC3347,420.43692769257495
AC3348,521.0544458102622
AC3349,457.81209230181673
AC3350,408.68903377082387
AC3351,574.7797352463476
AC3352,214.49679294745303
AC3353,423.4538143910471
AC3354,365.652655263783
AC3355,518.1419669753245
AC3356,367.5701931603232
AC3357,498.8491579569212
AC3358,668.4992057945483
AC3359,719.7636315088084
AC3360,622.8911632631083
AC3361,439.81997353689303
AC3362,414.93550260122214
AC3363,507.45711648884725
AC3364,425.77695204024445
AC3365,291.60249360507873
AC3366,456.96898157872204
AC3367,451.88590471640157
AC3368,551.5803534296739
AC3369,394.88299421443185
AC3370,512.1055644235006
AC3371,470.11374710717564
AC3372,462.44371220316964
AC3373,385.54258522450095
AC3374,407.74350756341533
AC3375,599.3999071044392
AC3376,441.10757760645873
AC3377,387.4793493255119
AC3378,456.3994585138649
AC3379,518.7316179798196
AC3380,325.13273810250894
AC3381,478.31740361678607
AC3382,498.8458440248406
AC3383,330.1489312386295
AC3384,369.77630836923015
AC3385,398.8847418817091
AC3386,320.6782067894205
AC3387,404.18893207747857
AC3388,668.5075427254707
AC3389,428.1534606541246
AC3390,438.66976404150904
AC3391,577.2987443900853
AC3392,532.7728183473173
AC3393,448.7124436144586
AC3394,495.19042348799013
AC3395,679.1250681531174
AC3396,319.938966107155
AC3397,521.5021267747665
AC3398,490.13708207575246
AC3399,327.6986929901292
AC3400,372.90938832531947
AC3401,306.30169015454067
AC3402,465.7265534460112
AC3403,396.8615206938244
AC3404,326.55604490406233
AC3405,277.8981863188811
AC3406,390.1203930484212
AC3407,409.45153034390785
AC3408,513.3075569342244
AC3409,660.5532348335593
AC3410,576.9997245669974
AC3411,615.5189807303454
AC3412,696.5558528185832
AC3413,360.7037170352479
AC3414,396.14777553846994
AC3415,374.7480507573425
