,0,2020-08-10 00:00:00,2020-08-11 00:00:00,2020-08-12 00:00:00,2020-08-13 00:00:00,2020-08-14 00:00:00,2020-08-15 00:00:00,2020-08-16 00:00:00
0,1,0.8,0.6599999999999999,0.7723999999999999,0.983224,0.90121088,0.8983682943999999,0.8358671957333333
1,2,0.86,0.732,0.8544799999999999,1.0866448,1.017042176,1.0292576588800002,0.9299041058133334
2,3,0.93,0.8160000000000001,0.95024,1.2073024,1.461062144,1.1819619174399998,1.09109441024
3,4,1.09,1.008,1.1691200000000002,1.4830911999999998,1.461062144,1.5310002227200001,1.2903789277866669
4,5,1.23,1.104,1.2785599999999997,1.6209855999999996,1.6155038719999997,1.705519375359999,1.4257614745599998
5,6,1.23,1.1520000000000001,1.3332799999999998,1.6899327999999998,1.692724736,1.79277895168,1.48178608128
6,7,1.23,1.176,1.3606399999999998,1.7244064,1.7313351680000002,1.8364087398400002,1.50979838464
7,8,1.0,0.8999999999999999,1.0459999999999998,1.3279599999999998,1.2873152,1.3346661759999998,1.1493235626666667
8,9,1.0,0.8999999999999999,1.0459999999999998,1.3279599999999998,1.2873152,1.3346661759999998,1.1493235626666667
9,10,1.07,0.9840000000000001,1.0870399999999998,1.4486176000000002,1.3452308480000001,1.4873704345600005,1.2370431470933336
10,11,1.03,0.936,1.0870399999999998,1.3796703999999995,1.3452308480000001,1.4001108582399997,1.1963420177066666
11,12,0.88,0.7559999999999999,0.88184,1.1211183999999998,1.0556526080000002,1.0728874470400005,0.9612497425066667
12,13,0.71,0.552,0.64928,0.8280928,0.7274639360000001,0.7020342476800001,0.6948118306133334
13,14,1.17,0.444,1.2785599999999997,1.6209855999999996,1.6155038719999997,1.705519375359999,1.3057614745599995
14,15,1.07,0.444,1.14176,1.4486176000000002,1.4224517120000002,1.4873704345600005,1.1690332910933334
15,16,0.62,0.444,0.5261600000000001,0.6729615999999999,0.553716992,0.50570020096,0.5537564654933332
16,17,0.68,0.516,0.60824,0.7763824,0.6695482880000001,0.63658956544,0.6477933755733334
17,18,1.09,1.008,1.1691200000000002,1.4830911999999998,1.461062144,1.5310002227200001,1.2903789277866669
18,19,0.63,0.456,0.53984,0.6901984,0.5730222079999999,0.5275150950399999,0.56942928384
19,20,1.02,0.924,1.07336,1.3624336000000001,1.325925632,1.37829596416,1.18066919936
20,21,1.11,1.032,1.19648,1.5175648000000002,1.499672576,1.57463001088,1.3217245644800002
21,22,1.1,1.02,1.1828,0.7763824,1.48036736,1.5528151167999995,1.1853941461333333
22,23,0.99,0.8879999999999999,1.0323200000000001,0.7763824,1.268009984,1.31285128192,1.04459394432
23,24,1.28,1.236,1.42904,0.7763824,1.8278612480000005,1.9454832102400001,1.4157944763733334
24,25,1.25,1.2,1.3880000000000001,0.7763824,1.7699456000000002,1.880038528,1.3773944213333333
25,26,1.2,1.14,1.3196,0.7763824,1.6734195200000002,1.7709640575999999,1.3133943296000001
26,27,0.71,0.552,0.64928,0.7763824,0.7274639360000001,0.7020342476800001,0.6861934306133334
27,28,0.77,0.6239999999999999,0.7313599999999998,0.7763824,0.8432952319999998,0.8329236121599997,0.7629935406933331
28,29,0.68,0.516,0.60824,0.7763824,0.6695482880000001,0.63658956544,0.6477933755733334
29,30,0.67,0.504,0.5945600000000001,0.7591456,0.6502430720000001,0.6147746713600001,0.6321205572266667
30,31,1.29,1.248,1.44272,1.8278272,1.847166464,1.96729810432,1.6038352947199999
31,32,1.16,1.092,1.2648799999999998,1.6037487999999998,1.596198656,1.6837044812799995,1.4000886562133334
32,33,1.06,0.972,1.12808,1.4313808000000001,1.4031464960000002,1.4655555404799998,1.2433604727466665
33,34,1.28,1.236,1.42904,1.8105904,1.8278612480000005,1.9454832102400001,1.5881624763733335
34,35,0.6900000000000001,0.528,0.62192,0.7936192000000001,0.6888535040000001,0.65840445952,0.6634661939200001
35,36,1.14,1.068,1.2375200000000002,1.5692752,1.557588224,1.64007469312,1.36874301952
36,37,1.16,1.092,1.2648799999999998,1.6037487999999998,1.596198656,1.6837044812799995,1.4000886562133334
37,38,1.19,1.128,1.3059199999999995,1.6554591999999997,1.6541143040000001,1.7491491635199998,1.4471071112533334
38,39,0.8200000000000001,0.6839999999999999,0.7997599999999999,1.0176976,0.939821312,0.94199808256,0.8672128324266666
39,40,1.11,1.032,1.19648,1.5175648000000002,1.499672576,1.57463001088,1.3217245644800002
40,41,1.17,0.5640000000000001,0.66296,0.8453296,0.7467691520000002,0.7238491417600001,0.7854846489600001
41,42,1.17,0.4920000000000001,0.5808800000000001,0.7419088000000001,0.6309378560000003,0.5929597772800003,0.7014477388800001
42,43,1.17,1.056,1.22384,1.5520383999999998,1.5382830080000005,1.6182597990399998,1.35973686784
43,44,1.17,1.104,1.2785599999999997,1.6209855999999996,1.6155038719999997,1.705519375359999,1.4157614745599998
44,45,0.86,0.732,0.8544799999999999,1.0866448,1.017042176,1.0292576588800002,0.9299041058133334
45,46,0.75,0.5999999999999999,0.7039999999999998,0.8970399999999998,0.8046848000000001,0.7892938239999999,0.757503104
46,47,0.85,0.72,0.8407999999999999,1.069408,0.99773696,1.0074427648,0.9142312874666665
47,48,1.07,0.9840000000000001,1.14176,1.4486176000000002,1.4224517120000002,1.4873704345600005,1.2590332910933335
48,49,1.04,0.948,1.1007200000000001,1.3969072,1.3645360640000002,1.42192575232,1.2120148360533334
49,50,1.16,1.092,1.2648799999999998,1.6037487999999998,1.596198656,1.6837044812799995,1.4000886562133334
50,51,1.24,1.188,1.3743199999999998,1.7416431999999995,1.750640384,1.85822363392,1.5254712029866664
51,52,0.6,0.42,0.4988,1.4313808000000001,1.4031464960000002,0.4620704128,0.8025662848
52,53,1.06,0.972,1.12808,1.4313808000000001,1.4031464960000002,1.4655555404799998,1.2433604727466665
53,54,0.76,0.6119999999999999,0.7176799999999999,0.9142768,0.823990016,0.81110871808,0.7731759223466667
54,55,0.61,0.43200000000000005,0.5124799999999999,0.6557247999999999,0.534411776,0.48388530688000003,0.5380836471466666
55,56,0.98,0.8759999999999999,1.0186399999999998,1.2934863999999997,1.248704768,1.2910363878399995,1.1179779259733331
56,57,1.19,1.128,1.3059199999999995,1.6554591999999997,1.6541143040000001,1.7491491635199998,1.4471071112533334
57,58,0.81,0.6719999999999999,0.7860799999999999,1.0004608,0.920516096,0.92018318848,0.8515400140799999
58,59,0.9,0.78,0.9092,1.155592,1.0942630400000002,1.1165172352,0.9925953792
59,60,0.6900000000000001,0.528,0.62192,0.7936192000000001,0.6888535040000001,0.65840445952,0.6634661939200001
60,61,1.05,0.96,1.1143999999999998,1.4141439999999998,1.38384128,1.4437406463999998,1.2276876544000002
61,62,0.89,0.768,0.8955200000000001,1.1383552,1.074957824,1.0947023411199996,0.9769225608533332
62,63,1.14,1.068,1.2375200000000002,1.5692752,1.557588224,1.64007469312,1.36874301952
63,64,0.74,0.5880000000000001,0.6903199999999999,0.8798032000000001,0.7853795840000002,0.7674789299200001,0.7418302856533333
64,65,0.79,0.6479999999999999,0.7587199999999998,0.9659871999999998,0.881905664,0.8765534003200001,0.8201943773866666
65,66,0.79,0.6479999999999999,0.7587199999999998,0.9659871999999998,0.881905664,0.8765534003200001,0.8201943773866666
66,67,0.61,0.43200000000000005,0.5124799999999999,0.6557247999999999,0.534411776,0.48388530688000003,0.5380836471466666
67,68,0.81,0.6719999999999999,0.7860799999999999,1.0004608,0.920516096,0.92018318848,0.8515400140799999
68,69,0.79,0.6479999999999999,0.7587199999999998,0.9659871999999998,0.881905664,0.8765534003200001,0.8201943773866666
69,70,0.74,0.5880000000000001,0.6903199999999999,0.8798032000000001,0.7853795840000002,0.7674789299200001,0.7418302856533333
70,71,0.75,0.5999999999999999,0.7039999999999998,0.8970399999999998,0.8046848000000001,0.7892938239999999,0.757503104
71,72,0.94,0.8280000000000001,0.9639200000000001,1.2245392,1.171483904,1.20377681152,1.0552866525866667
72,73,1.23,1.176,1.3606399999999998,1.7244064,1.7313351680000002,1.8364087398400002,1.50979838464
73,74,1.24,1.188,1.3743199999999998,1.7416431999999995,1.750640384,0.5929597772800003,1.3145938935466666
74,75,1.25,1.2,1.3880000000000001,1.75888,1.7699456000000002,0.5929597772800003,1.3266308962133333
