Stock Index,Stock Price
AC3235,573.9527708831635
AC3236,417.3437694380615
AC3237,736.1906478864064
AC3238,538.0473414459528
AC3239,397.1886948895935
AC3240,451.9871679966585
AC3241,560.9140042911042
AC3242,584.2914929048153
AC3243,604.256877956612
AC3244,654.6459559029779
AC3245,443.7169113213229
AC3246,429.12875543568236
AC3247,562.0264763239663
AC3248,351.4723160578497
AC3249,303.74669880972823
AC3250,349.7325931762217
AC3251,629.8103747816767
AC3252,346.97708237777715
AC3253,447.2415610967265
AC3254,351.10724528099286
AC3255,595.8152164585681
AC3256,597.6064964236667
AC3257,638.4899442098059
AC3258,466.04254891957675
AC3259,397.21278203405865
AC3260,387.0506258479637
AC3261,350.8755334306386
AC3262,379.0970895042635
AC3263,426.94712913774777
AC3264,332.18212585758886
AC3265,572.1841196509167
AC3266,550.175423125727
AC3267,473.22844061167694
AC3268,530.3448962315547
AC3269,430.01080680467635
AC3270,556.5844821188342
AC3271,309.51906070276425
AC3272,426.6881455601703
AC3273,593.3932716122945
AC3274,504.7804296564546
AC3275,455.9061670126725
AC3276,510.3675436205665
AC3277,610.6967595191767
AC3278,633.5964004612031
AC3279,340.4504234642018
AC3280,432.65993533971334
AC3281,585.3418065938695
AC3282,309.9212337059151
AC3283,540.3944627321949
AC3284,491.4854298405792
AC3285,359.2050912546907
AC3286,553.7223495109808
AC3287,406.4281656341341
AC3288,363.4717941634775
AC3289,376.24961382430524
AC3290,421.34342583750794
AC3291,363.2324266914999
AC3292,302.46072246866726
AC3293,462.790751419072
AC3294,378.5948257787111
AC3295,529.0476097559366
AC3296,320.55600287278054
AC3297,482.3229608873353
AC3298,548.1373908682957
AC3299,315.57649460677385
AC3300,243.1911195666927
AC3301,554.853207248877
AC3302,364.51654343279864
AC3303,646.2053714202036
AC3304,325.9522832822441
AC3305,341.79834470129066
AC3306,417.43414412231834
AC3307,241.79156103227578
AC3308,434.35043158766496
AC3309,426.0373698295908
AC3310,601.9684327893195
AC3311,626.8164785623225
AC3312,634.8611295685805
AC3313,295.8107055209494
AC3314,265.88529477604385
AC3315,317.4404013046528
AC3316,431.89816629538103
AC3317,551.2915745993117
AC3318,514.2223370443172
AC3319,664.8615297849938
AC3320,290.27334392845586
AC3321,365.0936495231234
AC3322,356.4802491839734
AC3323,557.7072246875109
AC3324,292.89166287794524
AC3325,382.78279523245595
AC3326,439.60097837791284
AC3327,260.97798564072446
AC3328,331.5166618891157
AC3329,508.52854500780467
AC3330,546.807182921584
AC3331,460.33308862616155
AC3332,562.1153399731193
AC3333,645.7856957665683
AC3334,402.5800430058123
AC3335,510.5581352882692
AC3336,317.4571367880521
AC3337,512.197574800477
AC3338,738.5810531303748
AC3339,555.4691829517886
AC3340,339.28944321303993
AC3341,688.0543031325581
AC3342,639.2324029395459
AC3343,420.98209921706643
AC3344,249.16043594183537
AC3345,326.42498113317356
AC3346,262.0532550826249
AC3347,421.0551618625319
AC3348,521.0767764759306
AC3349,457.4060997060738
AC3350,409.57300162033977
AC3351,576.0077787216547
AC3352,214.59116606206604
AC3353,420.73525211069483
AC3354,366.1224982118184
AC3355,519.7467188752358
AC3356,366.2120391378036
AC3357,498.31492891201685
AC3358,667.6915895157983
AC3359,720.4090685200085
AC3360,623.8665567892577
AC3361,440.3236404917793
AC3362,414.1791062953812
AC3363,505.4454081664986
AC3364,426.8672316431867
AC3365,289.27988327631454
AC3366,456.8311868988074
AC3367,453.0881968221344
AC3368,552.6707101235768
AC3369,390.6552359086927
AC3370,510.47437154048635
AC3371,469.9578198230259
AC3372,463.7584170809565
AC3373,385.48311457155523
AC3374,407.1838945600283
AC3375,601.4346341958619
AC3376,441.4124755376266
AC3377,390.18785949342964
AC3378,456.1994803219656
AC3379,523.0568506809916
AC3380,323.2656419788718
AC3381,481.4235437147124
AC3382,498.0260912908014
AC3383,332.7844724870313
AC3384,370.16990649120964
AC3385,397.17759318877535
AC3386,320.4187569525961
AC3387,403.45555929828777
AC3388,667.5469109775001
AC3389,431.68967460826883
AC3390,437.4826684687379
AC3391,577.1244283822127
AC3392,532.0536179482585
AC3393,447.3766399962228
AC3394,494.6116073131938
AC3395,678.4288424078259
AC3396,320.30196723643354
AC3397,521.1518933171009
AC3398,489.8913131895505
AC3399,333.81446925768523
AC3400,367.49720142352885
AC3401,304.04163522554666
AC3402,464.44962015372295
AC3403,391.15236217237083
AC3404,325.36880413644855
AC3405,271.5189230260188
AC3406,391.99868795447566
AC3407,409.15868116383683
AC3408,519.5709501847606
AC3409,685.9287375902611
AC3410,588.4004622055721
AC3411,634.3071709980298
AC3412,699.029146878356
AC3413,353.8219606284725
AC3414,383.8584641388658
AC3415,367.2994586653162
AC3416,510.4875481075218
AC3417,567.370872054555
AC3418,305.9114798872696
AC3419,761.7610083875178
